variable;lower;median;upper;distribution;lable
years;5;;5;const;time interval for microdosing
discount_rate;25;;25;const;discount rate (%)
var_cv;0.1;;0.4;tnorm;coefficient of variation (%)
inflation;23.50;;23.80;posnorm;inflation rate (%)
exchange_rate;14.8;;15.5;posnorm;exchange rate of 1 Ghana Cedi to US Dollar
maize_risk;0.1;;0.2;tnorm_0_1;probability of maize production risk (%)
maize_risk_percent_damage;0.4;;0.6;tnorm_0_1;multiplier value when maize risk (%)
shea_risk;0.01;;0.1;tnorm_0_1;probability of shea risk (%)
shea_risk_percent_damage;0.1;;0.2;tnorm_0_1;multiplier value when shea risk (%)
maize_market_risk;0.1;;0.3;tnorm_0_1;probability of maize market or price risk (%)
maize_market_risk_percent_damage;0.01;;0.1;tnorm_0_1;multipler value when market or price risk (%)
shea_market_risk;0.1;;0.2;tnorm_0_1;probability of shea market or price risk (%)
shea_market_risk_percent_damage;0.01;;0.1;tnorm_0_1;multipler value when market or price risk (%)
conflict_risk;0.1;;0.2;tnorm_0_1;probaility of conflict or litigation risk (%)
conflict_risk_percent_damage;0.1;;0.2;tnorm_0_1;multiplier value when conflict risk (%)
farmer_risk;0.01;;0.2;tnorm_0_1;probability of human risk (%)
farmer_risk_percent_damage;0.2;;0.4;tnorm_0_1;multiplier value when farmer risk (%)
maize_seed;170;;200;posnorm;maize seed per hectare (/ha)
maize_seed_price;337.5;;541.5;posnorm;price of maize seeds (Ghc/kg)
pesticides_quantity;2;;2.5;posnorm;quantity of pesticides per season (l/ha)
pesticides_price;20;;90;posnorm;price of perticides (Ghc l/ha)
weedicides_quantity;2;;3;posnorm;quantity of weedicides per season (l/ha)
weedicides_price;16;;220;posnorm;price of weedicides (Ghc l/ha)
fertilizer_full_dose_quantity;180;;200;posnorm;quantity of fertilizer for full dose per hectare (kg/ha)
fertilizer_microdose_quantity;95;;100;posnorm;quantity of fertilizer for microdose per hectare (kg/ha)
fertilizer_price;320;;500;posnorm;price of NPK fertilizer (Ghc l/ha)
fertilizer_application_full_dose;100;;200;posnorm;labour for full dose application (Ghc/ha)
fertilizer_application_microdose;170;;380;posnorm;labour for microdose application (Ghc/ha)
hired_labour;1020;;3552;posnorm;hired labour (Ghc/year)
family_labour_savings_maize;155;;271;postnorm;savings from using family labour for maize (Ghc/ha)
land_acqusition;100;;150;postnorm;cost of acquiring land (Ghc/ha)
tools;100;;200;postnorm;tools (Ghc/year)
maintenance;70;;100;postnorm;cost of tool maintenance (Ghc/year)
transport_maize;145;;200;postnorm;cost of transport of maize (Ghc/year)
transport_shea;20;;50;postnorm;cost of transport of shea (Ghc/year)
tractor_services;150;;300;postnorm;cost of tractor services (Ghc/year)
sheller_services;120;;300;postnorm;cost of sheller services (Ghc/year)
harvester_services;150;;300;postnorm;cost of sheller services (Ghc/year)
storage_bag;120;;180;postnorm;cost of storage bag (Ghc/year)
shea_processing;200;;250;postnorm;cost of shea processing (Ghc/kg)
processed_shea_quantity;30;;35;postnorm;processed shea quantity (Ghc/100kg)
sheabutter_market_price;2100;;2400;postnorm;price of sheabutter (Gh/100kg)
maize_yields_status_quo;700;;1000;postnorm;maize yield in status quo (kg/ha)
maize_yields_full_dose;3000;;3500;postnorm;maize yields in full dose (kg/ha)
maize_yields_microdose;810;;1100;postnorm;maize yields in microdose (kg/ha)
maize_residue_status_quo;520;;2180;postnorm;maize residue in status quo (kg/ha)
maize_residue_full_dose;1240;;2688;postnorm;maize residue in full dose (kg/ha)
maize_residue_microdose;940;;2348;postnorm;maize residue in microdose (kg/ha)
shea_yields_status_quo;100;;150;postnorm;shea yields in status quo (kg/ha)
shea_yields_full_dose;100;;150;postnorm;shea yields in full (kg/ha)
shea_yields_microdose;100;;150;postnorm;shea yields in microdose (kg/ha)
maize_price;2.59;;3.32;postnorm;price of maize (Ghc/kg)
shea_price;1500;;1700;postnorm;price of shea (Ghc/100kg)
residue_price;;;;postnorm;price of miaze residue  (Ghc/kg)
carbon_sequestration;0.1;;0.3;postnorm;carbon sequestrated by shea (%)
soil_replenished;0.1;;0.3;postnorm;organic matter replenished by shea and maize residue (%)
erosion_control;0.1;;0.3;postnorm;probability of erosion control by shea
microdosing_information_access;0.1;;0.2;postnorm;percentage probability of accessing microdosing information (%)
household_food_security;300;;365;postnorm;food security improvement for households (meals availability/year)
food price;10;;45;postnorm;market price of food (Ghc/served food)
full_dose_return_on_investment;;;;postnorm;return on investment for full dose
microdosing_return_on_investment;3147;;3300;postnorm;return on investment for microdosing (Gh)
